"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"43",13,"13","heroinSA","saline","02-16-23","Box13","223.000",10,1,"FR_SCRIPT_5choice_D:_0.462_E:_0.538_F:_6.000_I:_40.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_60347.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box13_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_13.rDat",6,7,6,"0.000","0.000","0.000","6.000","1843.22","142.22"
"44",14,"14","heroinSA","saline","02-16-23","Box14","271.000",10,1,"FR_SCRIPT_5choice_D:_0.700_E:_0.300_F:_7.000_I:_36.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2334.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box14_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_14.rDat",7,3,7,"0.000","0.000","0.000","7.000","408.59","10556.07"
"45",15,"15","heroinSA","saline","02-16-23","Box15","250.000",10,1,"FR_SCRIPT_5choice_D:_0.625_E:_0.375_F:_5.000_I:_28.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_38753.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box15_Comments:","heroinSA_FR1_roomE_20230216","heroinSA_FR1_roomE_20230216_15.rDat",5,3,5,"0.000","0.000","0.000","5.000","144.59","1956.88"
"46",1,"1","heroinSA","heroin","02-17-23","Box1","272.000",10,1,"FR_SCRIPT_D:_0.786_E:_0.214_F:_11.000_I:_52.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_13246.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_1.rDat",11,3,11,"192408.000","198533.000","99035.000","11.000","139.44","23.34"
"47",2,"2","heroinSA","heroin","02-17-23","Box2","247.000",10,1,"FR_SCRIPT_D:_0.041_E:_0.959_F:_4.000_I:_204.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_799.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_2.rDat",4,93,4,"192668.000","120269.000","60649.000","4.000","363","1430.28"
"48",3,"5","heroinSA","heroin","02-17-23","Box5","254.000",10,1,"FR_SCRIPT_D:_0.400_E:_0.600_F:_4.000_I:_30.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_38396.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_3.rDat",4,6,4,"151036.000","63788.000","76949.000","4.000","21.33","102.18"
"49",4,"6","heroinSA","heroin","02-17-23","Box6","238.000",10,1,"FR_SCRIPT_D:_0.421_E:_0.579_F:_8.000_I:_56.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_7394.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_1.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_4.rDat",8,11,8,"168047.000","228959.000","112351.000","8.000","70.57","667.39"
"50",5,"7","heroinSA","saline","02-17-23","Box7","251.000",10,1,"FR_SCRIPT_D:_0.552_E:_0.448_F:_16.000_I:_92.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_262.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_5.rDat",16,13,16,"76469.000","18229.000","10515.000","16.000","175.46","134.01"
"51",6,"8","heroinSA","heroin","02-17-23","Box8","273.000",10,1,"FR_SCRIPT_D:_0.591_E:_0.409_F:_13.000_I:_72.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_6234.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_6.rDat",13,9,13,"184783.000","130173.000","84660.000","13.000","78.35","74.88"
"52",7,"9","heroinSA","saline","02-17-23","Box9","232.000",10,1,"FR_SCRIPT_D:_0.179_E:_0.821_F:_5.000_I:_68.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_914.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_7.rDat",5,23,5,"252205.000","144025.000","40171.000","5.000","753.16","99.14"
"53",8,"10","heroinSA","heroin","02-17-23","Box10","251.000",10,1,"FR_SCRIPT_D:_1.000_E:_0.000_F:_4.000_I:_18.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_98712.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_8.rDat",4,0,4,"85459.000","22308.000","18812.000","4.000","17.19","17.19"
"54",9,"3","heroinSA","heroin","02-17-23","Box3","255.000",10,1,"FR_SCRIPT_box3_D:_0.720_E:_0.280_F:_18.000_I:_89.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_4745.000_U:_0.000_V:_1.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box3_Comments:","heroinSA_FR1_roomE_20230217","heroinSA_FR1_roomE_20230217_9.rDat",18,7,18,"213340.000","178684.000","86053.000","18.000","90.67","52.5"
