"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"15","heroinSA","saline","Box15","02-16-23","250","heroinSA_FR1_roomE_20230216","1","5","3","5","0","0","0","5","144.59","144.59","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","5","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","\Box15_Comments:"
"1","heroinSA","heroin","Box1","02-17-23","272","heroinSA_FR1_roomE_20230217","1","11","3","11","192408","198533","99035","11","139.44","23.34","2","1","0","1","0","0","2","0","1","0","1","0","1","1","0","1","0","0","4","1","0","1","0","0","2","0","1","0","3","0","1","1","2","1","0","0","2","1","0","1","0","0","2","0","1","0","1","0","1","1","0","1","0","0","\Box11_Comments:"
"2","heroinSA","heroin","Box2","02-17-23","247","heroinSA_FR1_roomE_20230217","1","4","93","4","192668","120269","60649","4","363","363","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","2","0","2","1","0","0","1","0","0","8","0","0","0","0","0","175","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","\Box11_Comments:"
"5","heroinSA","heroin","Box5","02-17-23","254","heroinSA_FR1_roomE_20230217","1","4","6","4","151036","63788","76949","4","21.33","21.33","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","4","2","0","2","0","1","0","0","2","0","0","5","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","\Box11_Comments:"
"6","heroinSA","heroin","Box6","02-17-23","238","heroinSA_FR1_roomE_20230217","1","8","11","8","168047","228959","112351","8","70.57","70.57","1","0","0","3","0","0","0","0","1","0","1","0","1","0","0","0","1","0","1","2","2","7","0","0","0","0","1","0","3","0","3","0","0","6","5","0","1","0","0","3","0","0","0","0","1","0","1","0","1","0","0","0","1","0","\Box11_Comments:"
"7","heroinSA","saline","Box7","02-17-23","251","heroinSA_FR1_roomE_20230217","1","16","13","16","76469","18229","10515","16","175.46","134.01","2","2","0","1","0","0","2","0","0","0","0","0","0","2","1","2","2","2","4","4","6","1","0","0","10","0","0","0","0","0","0","4","1","2","2","8","2","2","0","1","0","0","2","0","0","0","0","0","0","2","1","2","2","2","\Box11_Comments:"
"8","heroinSA","heroin","Box8","02-17-23","273","heroinSA_FR1_roomE_20230217","1","13","9","13","184783","130173","84660","13","78.35","74.88","3","0","1","0","2","1","0","1","1","0","0","0","0","0","1","2","1","0","9","0","3","2","2","1","0","1","1","4","4","0","0","0","1","2","1","0","3","0","1","0","2","1","0","1","1","0","0","0","0","0","1","2","1","0","\Box11_Comments:"
"9","heroinSA","saline","Box9","02-17-23","232","heroinSA_FR1_roomE_20230217","1","5","23","5","252205","144025","40171","5","753.16","99.14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","6","3","10","2","0","6","0","0","12","0","0","2","0","0","2","6","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","\Box11_Comments:"
"10","heroinSA","heroin","Box10","02-17-23","251","heroinSA_FR1_roomE_20230217","1","4","0","4","85459","22308","18812","4","17.19","17.19","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","\Box11_Comments:"
"3","heroinSA","heroin","Box3","02-17-23","255","heroinSA_FR1_roomE_20230217","1","18","7","18","213340","178684","86053","18","90.67","52.5","2","2","2","0","2","1","1","2","0","0","0","2","0","1","0","2","0","1","5","6","2","0","2","1","1","2","0","4","0","2","0","1","0","6","0","1","2","2","2","0","2","1","1","2","0","0","0","2","0","1","0","2","0","1","\Box3_Comments:"
"4","heroinSA","heroin","Box4","02-17-23","258","heroinSA_FR1_roomE_20230217","1","14","13","14","225170","122475","28762","14","27.27","27.27","2","3","0","1","2","0","0","1","1","1","0","0","1","0","0","1","0","1","4","7","0","1","2","0","0","7","1","3","0","8","1","0","0","1","4","1","2","3","0","1","2","0","0","1","1","1","0","0","1","0","0","1","0","1","\Box4_Comments:"
"11","heroinSA","saline","Box11","02-17-23","248","heroinSA_FR1_roomE_20230217","1","13","40","13","0","0","0","13","226.65","152.95","2","1","0","1","3","0","0","2","0","0","0","0","1","0","2","0","0","1","20","11","4","29","5","4","0","8","0","0","0","0","3","2","2","0","2","3","2","1","0","1","3","0","0","2","0","0","0","0","1","0","2","0","0","1","\Box11_Comments:"
"12","heroinSA","saline","Box12","02-17-23","255","heroinSA_FR1_roomE_20230217","1","27","21","27","0","0","0","27","86.11","86.11","3","1","4","0","0","2","0","1","5","0","0","4","1","0","4","0","0","2","7","1","8","2","0","9","0","1","17","0","0","12","1","4","6","0","0","2","3","1","4","0","0","2","0","1","5","0","0","4","1","0","4","0","0","2","\Box12_Comments:"
"13","heroinSA","saline","Box13","02-17-23","222","heroinSA_FR1_roomE_20230217","1","8","4","8","0","0","0","8","983.21","184.33","0","2","1","0","0","2","1","0","0","1","0","0","1","0","0","0","0","0","2","2","1","2","0","4","1","2","0","1","0","0","1","0","0","0","0","0","0","2","1","0","0","2","1","0","0","1","0","0","1","0","0","0","0","0","\Box13_Comments:"
"14","heroinSA","saline","Box14","02-17-23","271","heroinSA_FR1_roomE_20230217","1","20","6","20","0","0","0","20","60.48","60.48","2","4","3","0","0","4","0","0","0","0","0","0","1","0","1","3","2","0","4","4","3","0","4","6","0","0","0","0","0","0","1","0","1","7","2","0","2","4","3","0","0","4","0","0","0","0","0","0","1","0","1","3","2","0","\Box14_Comments:"
"15","heroinSA","saline","Box15","02-17-23","248","heroinSA_FR1_roomE_20230217","1","2","2","2","0","0","0","2","869.99","104.67","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","\Box15_Comments:"
"1","heroinSA","heroin","Box1","02-20-23","272","heroinSA_FR1_roomE_20230220","1","24","9","24","199228","226583","90391","24","172.94","172.94","2","1","2","2","3","2","1","2","0","2","1","2","1","0","1","1","0","1","4","3","4","4","5","4","1","2","0","2","3","2","1","0","1","3","2","1","2","1","2","2","3","2","1","2","0","2","1","2","1","0","1","1","0","1","\Box11_Comments:"
